Model,Power_kW,Torque_Nm,Power_Benchmark_RPM,Torque_Benchmark_RPM,Compression_Enumerator,Weight_kg,Fuel_system,Gearbox,Engine_type,Throttle_pct,RPM,Gear,Speed_kmh,Consumption_L100km,Mileage_km_per_liter
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,28,6695,0,18.7,6.755,14.8
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,7,5876,0,4.1,3.7,27.03
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,41,8707,0,35.7,9.92,10.08
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,63,6636,0,41.8,11.145,8.97
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,47,2527,0,11.9,5.677,17.61
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,78,7527,0,58.7,14.004,7.14
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,31,8491,0,26.3,8.253,12.12
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,81,5400,0,43.7,11.935,8.38
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,82,1744,0,14.3,7.331,13.64
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,68,1359,0,9.2,5.8,17.24
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,93,2667,0,24.8,9.333,10.71
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,76,6869,0,52.2,13.095,7.64
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,97,7775,0,75.4,17.033,5.87
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,32,4523,0,14.5,5.811,17.21
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,83,1658,0,13.8,7.241,13.81
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,42,4089,0,17.2,6.471,15.45
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,99,8885,0,88.0,19.055,5.25
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,9,5794,0,5.2,3.811,26.24
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,25,6296,0,15.7,5.965,16.76
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,58,8359,0,48.5,12.144,8.23
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,92,1526,0,14.0,7.574,13.2
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,46,5730,0,26.4,8.076,12.38
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,58,8592,0,49.8,12.489,8.01
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,84,7995,0,67.2,15.673,6.38
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,67,5515,0,37.0,10.481,9.54
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,51,5950,0,30.3,9.068,11.03
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,39,1517,0,5.9,4.121,24.27
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,75,1402,0,10.5,6.325,15.81
